,,,,
Cloudify,https://devpost.com/software/built-with/css,Cloudify is a file-sharing application designed to streamline the process of exchanging local files across multiple platforms.,"Benjamin Goulet, Farouk Charkas, Noah Smith","adobexd, css, ejs, electron, html, javascript, node.js, react, typsecript, webapi's"
Thicc Snake,https://devpost.com/software/built-with/pygame,"Simple but colorful game where you hold down the mouse button to extend your snake thickness. Collect tokens to grow, but if you hit a obstacle, it's game over.","Peter Yao, Anoush Mudaliar","pygame, python"
Commently,https://devpost.com/software/built-with/firebase,"Originally made to remedy disabled YouTube comments, Commently enables people to comment on any webpage, enabling them to find community and have good times wherever they go, all over the internet.","Aan Patel, Irene, Yufei Dong","firebase, react, semantic-ui"
Moodify,https://devpost.com/software/built-with/bootstrap,"It monitors user behavior, analyzes it for signs of doom-scrolling, and notifies the user, sending them to a dashboard to help them stop their negative automatic behavior.","gabriellestein, montanoj96 montano, leensamhan, Amelia Hernandez","api, apis, bootstrap, css, html, html5, javascript, jquery, json, slides, spotify"
Find My Study Spot,https://devpost.com/software/built-with/css,"Use this website to find the perfect study spot! This website provides ratings for study spots based on accessibility features, COVID precautions, and more to find a place fit for your concerns.","annaks01, vennila-t, Dheya Madhani, Vivian Deng, Meghan Sun","css, html, javascript"
Tasket,https://devpost.com/software/built-with/firebase,"A tool to make managing recurring tasks within a group fair and easy, as well as encouraging transparency and communication",Daniel Manila,"firebase, javascript, node.js, react"
Mindful Money,https://devpost.com/software/built-with/adobe-illustrator,"Having trouble keeping track of all your pesky expenses? Need a handy organizer for your money right at your fingertips? If so, Mindful Money is just right for you!","Ruiyi Di, Renzhi Li, Ruth Wu, Pavel Sherstyuk","adobe-illustrator, css, google-chart, html, javascript, jquery"
Big Farm Tycoon,https://devpost.com/software/built-with/java,"A simple yet immersive crop planting game that requires you to manage harvesing crops, soil quality, and crop economy!","Scott Hoover, Samuel Song, Nikolas Jauch, Khang Tran, Isidro Casiano",java
Speech Search,https://devpost.com/software/built-with/css,Bringing you back to what you were looking for.,"Thalia Rodriguez, Guillermo Saez Santana, Gillian Zech, Brandon Kaminski","assemblyai, css, html5, javascript"
ROYGBIV Keys,https://devpost.com/software/built-with/css,ROYGBIV Keys implements a color visual association with the notes on sheet music. ROYGBIV Keys uses synaesthesia of color (sight) and notes (audio) to make learning sheet music easier for beginners.,"Sayan Dutta, Kenan Poole, Jeremy Chen","computer, css, html, javascript, love"
Project Ladder,https://devpost.com/software/built-with/flask,A credit experience that rebuilds the relationship between banks and consumers through financial headwinds.,"Aidan Hunt, Duc Anh Huynh, Kevin Chen, Sandy Phan","flask, python, react"
The Calculator,https://devpost.com/software/built-with/rust,"It's a calculator, perhaps somewhat similar to bc on Unix. The hope is to have it be accessible on both the command line and through a GUI interface.","Eric Schneider, Chongyi Zheng, Aneesh Murthi","lalrpop, regex, rust, wasm"
UNC CS Encyclopedia,https://devpost.com/software/built-with/css,A mind-reading game to get you familiarize with the UNC CS department.,"Guning Shen, QianqianHong Hong, Haaankkk, Ziheng Wang","css, html, javascript"
Climate Game,https://devpost.com/software/built-with/css3,A game that exploits your greed to teach you to use your heart.,"Thomas Barry, Ana Kisley","css3, html5, unity"
Farming Simulator,https://devpost.com/software/built-with/pygame,"Jam out to our soundtrack while learning about agriculture through this farm simulator! Till land, plant seeds, apply pesticides, water crops, in that order to harvest and level up!","lamngo13 Ngo, beccalewis Lewis, Felicia Dizmond, Celina Chung, Sarai Alvarenga-Polio","mu, pygame, python"
Diabetic Retinopathy,https://devpost.com/software/built-with/python,#machinelearning #deeplearning,Venkata Karthikeya,"keras, python"
Crypto Organizer,https://devpost.com/software/built-with/eclipse,"All of your crypto, in one place. Accessible and integrated with voice functionality.","largeweb, Josh Myatt, Bailey DeSouza, helenmcginnis McGinnis","adobexd, binanceapi, coinmarketcapapi, eclipse, etherscanapi, github, java, maven, python, swing, vscode"
foodUNC,https://devpost.com/software/built-with/chart-js,"foodUNC is an application to help students at UNC Chapel Hill with food-related budgeting, specifically focused on tracking money spent eating out.",blinford Linford,"chart.js, flask, github"
Farming Simulator,https://devpost.com/software/built-with/css,A guide to a better yield.,"nickb858 Boyer, Ragavi Rajkumar","css, html, javascript"
Tip of my Tongue,https://devpost.com/software/built-with/javascript,A webapp to input a text description and produce a word cloud of similar words.,"Simi Singh, win Geigerman","javascript, jquery, nltk, python, react, redux"
Compounder,https://devpost.com/software/built-with/css3,A better platform for planning long term investments and retirement,Alex Chung,"css3, github, html5, javascript, react"
MyPantry,https://devpost.com/software/built-with/android-studio,"MyPantry is an app that stores recipes, ingredients, additional notes, filters which recipes are available based on your pantry and auto-updates it for a streamlined culinary experience post COVID.","Donovan Nickol, Robert Ceglie, Madelyn Andrews, Brandon Lozano","android-studio, java"
Healthy Skins,https://devpost.com/software/built-with/javascript,"In today's world skincare products contain many potentially harmful chemicals, using our app you will be able to distinguish them to keep yourself safe.","Kadir Lofca, Senih Tosun","javascript, react-native, tesseract"
Twitter Replay,https://devpost.com/software/built-with/css3,Experience Twitter trends in real time while watching past Twitch VODs and never miss out on a trending moment!,"Nolan Welch, David Foss","css3, flask, html5, nltk, python, sqlite, tweepy, twitch"
Mini Farm Life,https://devpost.com/software/built-with/unreal-engine,"Mini Farm life is a game that teaches kids can learn how to plant, water and harvest crop.","Arturo C, Braxton Chambers, Ryan Hinton, Ben Johnson","adobe, unreal-engine"
elewaitor,https://devpost.com/software/built-with/javascript,#entertainement#game#web,Ruide Fu,"javascript, react"
